Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,AR Roles,GL Roles,AP Roles,In AR,In GL,In AP
GAP,Charge Display type,charges/chargedisplaytype,charges/chargedisplaytype,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/charges/chargedisplaytype,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Check Signature,app.glap.checksignature,app.glap.checksignature | glap/checksignature,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/glap/checksignature,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,CHECKscan App,checkscan/checkscanappdownload,checkscan/checkscanappdownload,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/checkscan/checkscanappdownload,AR Manager - Payments Admin,,,Yes,No,No
GAP,CHECKscan App Download,checkscan/checkscanappdownload,checkscan/checkscanappdownload,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/checkscan/checkscanappdownload,AR Manager - CHECKscan Download,,,Yes,No,No
GAP,CHECKscan Dual MICR Checks,checkscan/dualMICRChecks,checkscan/dualMICRChecks,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/checkscan/dualMICRChecks,AR Manager - Payments Admin,,,Yes,No,No
GAP,CHECKscan Fix Check Numbers,checkscan/checkscanfixcheckno,checkscan/checkscanfixcheckno,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/checkscan/checkscanfixcheckno,AR Manager - Payments Admin,,,Yes,No,No
GAP,CHECKscan Setup,setup/checkscansetup,setup/checkscansetup,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/checkscansetup,AR Manager - Payments Admin,,,Yes,No,No
GAP,Close PO,app.po.close,app.po.close | po/close,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/po/close,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Collect Code Setup,setup/savecollectcodesetups,setup/savecollectcodesetups,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/savecollectcodesetups,AR Manager - Payments Admin,,,Yes,No,No
GAP,Combined Federal/State Code,i1099/combinedfedstatecode,i1099/combinedfedstatecode,glmanagernet,glmanagernet,,,GL Manager 1099,,No,Yes,No
GAP,Commercial Late Fee,armanager/commpostlatefee,armanager/commpostlatefee,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/commpostlatefee,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Consolidated Receipt,affordable/consolidatedreceipt,affordable/consolidatedreceipt,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/affordable/consolidatedreceipt,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Create Adhoc Journal Batch,icbilling/createadhocbatch,icbilling/createadhocbatch,glmanagernet,glmanagernet,/glmanagernet/content2/icbilling/createadhocbatch,,GL Manager,,No,Yes,No
GAP,Create Charge Batch,charge/component?opennewchargebatch=true,charge/component?opennewchargebatch=true | charge/batchcharge/0,ARManagera13NET,"ARManagera13NET, glmanagernet",/armanagera13net/content2/charge/component?opennewchargebatch=true,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,GL Manager,,Yes,Yes,No
GAP,Create IAT Journal,iatjournals/list,iatjournals/list,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Create Late Fee,armanager/commcombinedlatefee,armanager/commcombinedlatefee,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/commcombinedlatefee,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Create Performance Receipts,tools/generateperfrec,tools/generateperfrec,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/generateperfrec,AR Manager - Payments Admin,,,Yes,No,No
GAP,Credit Card,app.billpay.creditcard,app.billpay.creditcard | billpay/creditcard,ARManagera13NET,"ARManagera13NET, ProcuretoPayNet",/procuretopaynet/content/#/app/billpay/creditcard,AR Manager - Payments; AR Manager - Payments Admin,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),Yes,No,Yes
GAP,Credit Card Configuration,setup/creditcardconfiguration,setup/creditcardconfiguration,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/creditcardconfiguration,AR Manager - Payments Admin,,,Yes,No,No
GAP,Credit Card Reconciliation,tools/reconcilecreditcardbatches,tools/reconcilecreditcardbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/reconcilecreditcardbatches,AR Manager - Payments Admin,,,Yes,No,No
GAP,Custom Financial - Notes,customfinancialnotes,customfinancialnotes,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Deactivate Recurring Payment Setup,tools/deactivatepaymentmanager,tools/deactivatepaymentmanager,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/deactivatepaymentmanager,AR Manager - Payments Admin,,,Yes,No,No
GAP,Deactivate WIPS Accounts,tools/deactivatewipsaccounts,tools/deactivatewipsaccounts,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/deactivatewipsaccounts,AR Manager - Payments Admin,,,Yes,No,No
GAP,Deposit Interest Batch Register,receivables/depositinterest/BatchRegister,receivables/depositinterest/BatchRegister,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/BatchRegister,AR Manager; AR Manager - Payments Admin,,,Yes,No,No
GAP,Deposit Interest Calculation Reversal,receivables/depositinterest/DICalculationReversal,receivables/depositinterest/DICalculationReversal,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/receivables/depositinterest/DICalculationReversal,AR Manager; AR Manager - Payments Admin,,,Yes,No,No
GAP,Deposit Interest Conversion,armanager/depositInterestConversion,armanager/depositInterestConversion,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/depositInterestConversion,AR Manager; AR Manager - Payments Admin,,,Yes,No,No
GAP,Distribute Deposit Interest,armanager/distributedepositinterest,armanager/distributedepositinterest,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/distributedepositinterest,AR Manager; AR Manager - Payments Admin,,,Yes,No,No
GAP,EC Purchase Audit Non Recoverable JE,taxrecovery/ecpurauditnonrecoverableje,taxrecovery/ecpurauditnonrecoverableje,glmanagernet,glmanagernet,/glmanagernet/content2/taxrecovery/ecpurauditnonrecoverableje,,GL Manager,,No,Yes,No
GAP,EC Purchase Non Recoverable JE,taxrecovery/ecpurnonrecoverableje,taxrecovery/ecpurnonrecoverableje,glmanagernet,glmanagernet,/glmanagernet/content2/taxrecovery/ecpurnonrecoverableje,,GL Manager,,No,Yes,No
GAP,Edit EFT Batches,tools/editeftbatches,tools/editeftbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/editeftbatches,AR Manager - Payments Admin,,,Yes,No,No
GAP,EFT Account Cleanup,setup/eftsetupdelete,setup/eftsetupdelete,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/eftsetupdelete,AR Manager - Payments Admin,,,Yes,No,No
GAP,Email Notification Setup-Global,setup/emailnotificationsetup,setup/emailnotificationsetup,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/emailnotificationsetup,AR Manager - Payments Admin,,,Yes,No,No
